UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q09472	P07204	2033	7056	EP300	THBD	chromatin immunoprecipitation assay;inferred by curator	29087512;15677570;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:X1WG57;Mm:B2RWS6	-	Mm:P15306;Rn:O35370	-
P17676	P01375	1051	7124	CEBPB	TNF	chromatin immunoprecipitation assay;inferred by curator	10629048;9566900;27924024;17202159;29087512	Homo sapiens	GTRD;TRED;TRRUST	Yes	Mm:P28033;Rn:P21272	-	Mm:P06804	Rn:P16599
Q05516	P61073	7704	7852	ZBTB16	CXCR4	chromatin immunoprecipitation assay;inferred by curator	18568019;29087512;27924024	Homo sapiens	GTRD;TRRUST	Yes	Dr:E7FDS7;Mm:Q3UQ17;Rn:Q5S3S9	-	Dr:F1QCB2;Mm:A0A0R4J0N8	Rn:O08565
P31268	P22735	3204	7051	HOXA7	TGM1	inferred by curator	17202159	Homo sapiens	TRED	Yes	Mm:P02830	Rn:M0R7P7	Mm:A0A0R4J293;Rn:P23606	Dr:F8W5T1;Dr:A0A0R4IN46
Q16254	O43684	1874	9184	E2F4	BUB3	chromatin immunoprecipitation array;chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;17531812;17202159;22900683	Homo sapiens	GTRD;HTRI;ORegAnno;PAZAR;ReMap;TRED	Yes	Dr:A0A0R4ICD5;Mm:Q8R0K9;Rn:D4A9V4	-	Ce:Q9XWH0;Dm:Q9VAJ2;Dr:U3JAH9;Mm:Q9WVA3;Rn:Q4FZS2;Sc:P26449	-
P08047	Q96BJ8	6667	79767	SP1	ELMO3	chromatin immunoprecipitation assay;inferred by curator	29126285;29087512;20127720;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0	-	-
P01106	P32322	4609	5831	MYC	PYCR1	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:F1RC36;Mm:P01108	-	-	-
P01100	Q03060	2353	1390	FOS	CREM	chromatin immunoprecipitation assay;inferred by curator	29126285;8972862;26578589;17056544;18971253;27924024;29087512;21757709;15322221	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRRUST	Yes	Dr:Q6P0S4;Mm:P01101;Rn:P12841	-	Rn:Q03061	Mm:D3Z7M6
P41235	P20813	3172	1555	HNF4A	CYP2B6	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18666237;18971253;27924024;29087512	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRRUST	Yes	Dr:Q6PHH5;Mm:P49698	Rn:A0A0G2K0G1	Mm:Q9WUD0;Mm:E9Q593;Mm:O55071;Rn:F7FBM8	Rn:G3V9D2;Rn:A0A0G2K5S9;Rn:B2GV28
P10914	P25942	3659	958	IRF1	CD40	chromatin immunoprecipitation assay;inferred by curator	29087512;29126285;27924024;18694960	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Mm:P15314;Rn:Q6DGG4	-	Mm:P27512;Rn:Q4QQW2	-
P08047	P41218	6667	4332	SP1	MNDA	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159;29087512;8809111	Homo sapiens	GTRD;ReMap;TRED;TRRUST	Yes	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0	-	-
P14859	P01375	5451	7124	POU2F1	TNF	inferred by curator	17202159	Homo sapiens	TRED	Yes	Rn:F1LRD7	Mm:A0A0R4J1Z4	Mm:P06804	Rn:P16599
P40763	Q08830	6774	2267	STAT3	FGL1	chromatin immunoprecipitation assay;inferred by curator	29087512;27924024;19304666	Homo sapiens	GTRD;TRRUST	Yes	-	-	Mm:A0A0R4J0E1;Rn:Q5M8C6	Dr:A0A140LG86
P49715	P05814	1050	1447	CEBPA	CSN2	inferred by curator	17202159;18971253;26578589	Homo sapiens	ORegAnno;PAZAR;TRED	Yes	Dr:Q8UVZ1;Mm:P53566;Rn:A0A0H2UI22	-	Mm:P10598	Rn:G3V9R5
Q13547	P12004	3065	5111	HDAC1	PCNA	chromatin immunoprecipitation assay;inferred by curator	29126285;18691180;9650586;27924024;29087512	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Mm:O09106;Rn:Q4QQW4	-	Ce:O02115;Dm:P17917;Dr:Q9PTP1;Mm:P17918;Rn:P04961;Sc:P15873	-
Q01196	P01033	861	7076	RUNX1	TIMP1	chromatin immunoprecipitation assay;inferred by curator	29087512;29126285;27924024;15051730	Homo sapiens	GTRD;ReMap;TRRUST	Yes	-	Mm:Q3UM65;Rn:A0A0G2JYQ4	Mm:P12032;Rn:P30120	-
Q02548	P17861	5079	7494	PAX5	XBP1	chromatin immunoprecipitation assay;electrophoretic mobility shift assay;inferred by curator	29126285;27924024;8627152;29087512;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRRUST	Yes	Mm:Q02650	Dr:F1QGF8;Rn:F1M4W2	Rn:A0A140TAA7	Dr:F1R5F9;Mm:A0A5F8MPD3
Q8N907	P04181	199699	4942	DAND5	OAT	chromatin immunoprecipitation assay;inferred by curator	29126285;29087512;2373169	Homo sapiens	ReMap;TRRUST	Yes	Mm:Q76LW6	Rn:D3ZGN3	Ce:Q18040;Dm:Q9VW26;Dr:F8W5L3;Mm:P29758;Rn:P04182;Sc:P07991	-
Q01094	Q8NB25	1869	79632	E2F1	FAM184A	chromatin immunoprecipitation assay;inferred by curator	17202159;18971253;27924024;26578589	Homo sapiens	GTRD;ORegAnno;PAZAR;TRED	Yes	Mm:Q61501;Rn:O09139	-	Dr:E7FF25;Mm:E9PW83	Dr:Q5SPS2;Rn:F1LW90
Q04206	P02656	5970	345	RELA	APOC3	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Mm:Q04207;Rn:Q7TQN4	-	Mm:E9QP56;Rn:A0A0G2K8Q1	-
P35638	O14763	1649	8795	DDIT3	TNFRSF10B	chromatin immunoprecipitation assay;electrophoretic mobility shift assay;inferred by curator	21941003;21044953;22900683;15322075;26578589;15994939;21726997;18172319;18593935;27924024;20157774;18794136;29087512;22328338	Homo sapiens	GTRD;HTRI;ORegAnno;TRRUST	Yes	Dr:F1Q964;Mm:P35639;Rn:Q496Y7	-	-	-
Q16254	O75838	1874	10518	E2F4	CIB2	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;17202159	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRED	Yes	Dr:A0A0R4ICD5;Mm:Q8R0K9;Rn:D4A9V4	-	-	-
P25791	O15123	4005	285	LMO2	ANGPT2	inferred by curator	29087512;22792348	Homo sapiens	TRRUST	Yes	Dr:Q9PTJ3;Mm:P25801;Rn:A0A0G2QC60	-	Mm:O35608	Rn:O35462
P10275	Q9UQ05	367	23415	AR	KCNH4	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Mm:P19091;Rn:A0A0G2JSI8	-	Mm:A2A5F7;Rn:F1LRG4	-
Q96DB2	P01106	79885	4609	HDAC11	MYC	inferred by curator	29087512;20493879	Homo sapiens	TRRUST	Yes	Ce:Q18477;Dm:Q9VC26;Mm:Q91WA3;Rn:B2GUW3	-	Dr:F1RC36;Mm:P01108	-
P35638	O95197	1649	10313	DDIT3	RTN3	inferred by curator	29087512;17191123	Homo sapiens	TRRUST	Yes	Dr:F1Q964;Mm:P35639;Rn:Q496Y7	-	Mm:Q9ES97	-
P11473	P10145	7421	3576	VDR	CXCL8	chromatin immunoprecipitation assay;inferred by curator	9431991;29126285;27924024;29087512;24250750	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:Q1L673;Mm:P48281;Rn:G3V744	-	-	Dr:N0GW19
P05549	Q04695	7020	3872	TFAP2A	KRT17	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	-	-	Mm:Q9QWL7	Rn:A0A0G2K9Q9
P08047	O43557	6667	8740	SP1	TNFSF14	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;12215452;17202159;29087512	Homo sapiens	GTRD;ReMap;TRED;TRRUST	Yes	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0	Mm:Q9QYH9	Rn:M0RCN2
Q01860	Q99626	5460	1045	POU5F1	CDX2	chromatin immunoprecipitation assay;inferred by curator	29087512;29126285;27924024;17068183	Homo sapiens	GTRD;ReMap;TRRUST	Yes	-	-	Mm:P43241;Rn:Q9ESV7	-
Q14938	P36222	4784	1116	NFIX	CHI3L1	inferred by curator	29087512;21953450	Homo sapiens	TRRUST	Yes	Rn:A0A0G2K1B6	Mm:E9PUH7	Mm:Q61362	Rn:Q9WTV1
P08047	P02462	6667	1282	SP1	COL4A1	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0	Mm:P02463;Rn:F1MA59	Dr:F1Q8S5
Q02556	O15519	3394	8837	IRF8	CFLAR	inferred by curator	29087512;19155307	Homo sapiens	TRRUST	Yes	Mm:P23611;Rn:Q5NUI4	Dr:Q6DHK7	Dr:F1R706;Mm:O35732;Rn:C0H5Y5	-
Q01094	Q6P6B7	1869	54522	E2F1	ANKRD16	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;17202159	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRED	Yes	Mm:Q61501;Rn:O09139	-	Mm:A2AS55;Rn:Q499M5	Dr:Q1LX89
P15923	P33076	6929	4261	TCF3	CIITA	chromatin immunoprecipitation assay;inferred by curator	16951349;29126285;27924024;20211142	Homo sapiens	FANTOM4_via_DoRothEA;GTRD;ReMap	Yes	Dr:B1H1L4;Mm:P15806;Rn:A0A0G2K030	-	-	-
Q02447	O14543	6670	9021	SP3	SOCS3	inferred by curator	29087512;10570957	Homo sapiens	TRRUST	Yes	Mm:O70494;Rn:A0A0G2K5M1	Dr:B0R082	Dr:Q7ZUC6;Mm:O35718;Rn:G3V6D2	-
Q15853	Q13285	7392	2516	USF2	NR5A1	chromatin immunoprecipitation assay;inferred by curator	29087512;18165439;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:Q1L959;Mm:Q64705;Rn:A0A0G2K3J3	-	Ce:Q09587;Mm:P33242	Rn:P50569
Q02447	Q9NPH5	6670	50507	SP3	NOX4	chromatin immunoprecipitation assay;electrophoretic mobility shift assay;inferred by curator	21235713;29087512;22900683	Homo sapiens	HTRI;TRRUST	Yes	Mm:O70494;Rn:A0A0G2K5M1	Dr:B0R082	Mm:Q9JHI8;Rn:Q924V1	-
Q13127	P20366	5978	6863	REST	TAC1	inferred by curator	19246391;29087512;12220737	Homo sapiens	TRRUST	Yes	-	-	Mm:P41539;Rn:P06767	Dr:A3KQK1
P13631	O75376	5916	9611	RARG	NCOR1	inferred by curator	17202159	Homo sapiens	TRED	Yes	Dr:Q91392;Mm:P18911	Rn:D3ZF61	Rn:A0A0G2K2B4	Mm:Q5RIM6
Q06945	Q03164	6659	4297	SOX4	KMT2A	chromatin immunoprecipitation assay;inferred by curator	29087512;20019190;27924024	Homo sapiens	GTRD;TRRUST	Yes	Dr:A0A0R4IQD2;Mm:Q06831	-	Dr:F1QL52;Mm:P55200	Rn:F1M0L3
P01106	Q9HCC0	4609	64087	MYC	MCCC2	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:F1RC36;Mm:P01108	-	Ce:P34385;Dm:Q9V9A7;Dr:A2BIN5;Mm:Q3ULD5;Rn:Q5XIT9	-
P25490	Q9GZT3	7528	81892	YY1	SLIRP	chromatin immunoprecipitation assay;inferred by curator	22951020;29126285;27924024;26578589	Homo sapiens	GTRD;ORegAnno;ReMap	Yes	Mm:Q00899;Rn:Q8CHJ4	-	-	-
P55055	Q16822	7376	5106	NR1H2	PCK2	chromatin immunoprecipitation assay;inferred by curator	22761861;29126285;19258656	Homo sapiens	ReMap;TFactS_via_DoRothea	Yes	Mm:Q60644;Rn:Q62755	-	Dr:F1R9Y5;Rn:F1LQJ7	-
Q99814	P35968	2034	3791	EPAS1	KDR	inferred by curator	17202159	Homo sapiens	TRED	Yes	Dr:B3DJD1;Mm:P97481;Rn:A0A0G2K9J6	-	Dr:Q5GIT4;Mm:P35918;Rn:Q5PQU0	-
Q07869	Q9H3M7	5465	10628	PPARA	TXNIP	inferred by curator	29087512;18848838	Homo sapiens	TRRUST	Yes	Dr:K7DY57;Mm:P23204;Rn:P37230	-	Ce:D1MN74;Dm:Q0E8K8;Dr:Q7ZWB6;Mm:Q8BG60;Rn:Q5M7W1	-
P08047	P14780	6667	4318	SP1	MMP9	chromatin immunoprecipitation assay;inferred by curator	24755270;29126285;18357389;7860222;11752324;26578589;21963718;27924024;19616522;11060311;17202159;29087512	Homo sapiens	GTRD;ORegAnno;ReMap;TRED;TRRD_via_DoRothEA;TRRUST	Yes	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0	Dr:F1QC76;Mm:P41245	Rn:D3ZYK8
P10826	P07988	5915	6439	RARB	SFTPB	inferred by curator	17202159	Homo sapiens	TRED	Yes	Mm:P22605;Rn:D3ZFD9	-	-	Mm:F8WGK6;Rn:Q6IN44
P06400	P37231	5925	5468	RB1	PPARG	chromatin immunoprecipitation assay;inferred by curator	20971808;29087512;27924024	Homo sapiens	GTRD;TRRUST	Yes	Dm:Q9VF04;Dr:F1Q9D6;Mm:P13405;Rn:R9PXV5	-	-	-
P52747	P37837	7702	6888	ZNF143	TALDO1	chromatin immunoprecipitation assay;inferred by curator	14702349;29087512;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Mm:O70230;Rn:A0A0H2UHI0	Dr:Q7SXJ2	Ce:Q966C7;Dm:Q9W1G0;Mm:Q93092;Rn:Q9EQS0;Sc:P53228;Sc:P15019	-
Q01094	O14929	1869	8520	E2F1	HAT1	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;17202159	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRED	Yes	Mm:Q61501;Rn:O09139	-	-	-
P17676	P28332	1051	130	CEBPB	ADH6	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Mm:P28033;Rn:P21272	-	-	-
Q00613	P08183	3297	5243	HSF1	ABCB1	inferred by curator	29087512;10816597	Homo sapiens	TRRUST	Yes	Mm:P38532;Rn:F1MAF1	-	Mm:P21447	-
P10070	Q13751	2736	3914	GLI2	LAMB3	chromatin immunoprecipitation assay;inferred by curator	22761861;14691458;27924024	Homo sapiens	GTRD;TFactS_via_DoRothea	Yes	Mm:Q0VGT2;Rn:F1M2B7	Dr:B0S6T1	Mm:Q61087	Rn:F1LPI5
P05549	P20933	7020	175	TFAP2A	AGA	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	-	-	Dm:Q8MR45;Dm:A1ZBI7;Mm:Q64191;Rn:P30919	Ce:Q21697;Dr:A8KC00
Q13887	P24385	688	595	KLF5	CCND1	chromatin immunoprecipitation assay;inferred by curator	29087512;29126285;27924024;19189969	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:E9QG09;Mm:Q9Z0Z7	Rn:F1LSL7	Dr:Q90459;Mm:P25322;Rn:P39948	-
P01106	Q99848	4609	10969	MYC	EBNA1BP2	chromatin immunoprecipitation assay;inferred by curator	22169551;29087512;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:F1RC36;Mm:P01108	-	-	-
Q15853	P01185	7392	551	USF2	AVP	inferred by curator	17202159	Homo sapiens	TRED	Yes	Dr:Q1L959;Mm:Q64705;Rn:A0A0G2K3J3	-	Mm:P35455	Rn:P01186
Q07869	P25963	5465	4792	PPARA	NFKBIA	inferred by curator	17202159;14976045;29087512;11981037	Homo sapiens	TRED;TRRUST	Yes	Dr:K7DY57;Mm:P23204;Rn:P37230	-	Dr:Q7ZW68;Dr:F1QCG4;Mm:Q9Z1E3;Rn:Q63746	-
P05412	P01303	3725	4852	JUN	NPY	inferred by curator	8036020;26578589;18971253;17202159;29087512	Homo sapiens	ORegAnno;PAZAR;TRED;TRRUST	Yes	Dr:Q6NZT5;Mm:P05627;Rn:P17325	-	Dr:Q9I8P3;Mm:P57774	Rn:P07808
Q9UJQ4	Q9UJQ4	57167	57167	SALL4	SALL4	inferred by curator	29087512;20505821	Homo sapiens	TRRUST	Yes	Dr:F1QDF2;Mm:Q8BX22;Rn:M0RDM1	-	Dr:F1QDF2;Mm:Q8BX22;Rn:M0RDM1	-
P01106	P19875	4609	2920	MYC	CXCL2	chromatin immunoprecipitation assay;inferred by curator	29126285;12695333;27924024;17202159;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRED	Yes	Dr:F1RC36;Mm:P01108	-	-	-
P04637	Q02363	7157	3398	TP53	ID2	chromatin immunoprecipitation assay;inferred by curator	16557594;29087512;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Mm:P02340	Dr:B0R0M3;Rn:M0R497	Dr:Q7SZQ2;Mm:P41136;Rn:P41137	-
P56524	P18848	9759	468	HDAC4	ATF4	inferred by curator	24308964;29087512	Homo sapiens	TRRUST	Yes	-	-	Dr:Q6NW59;Mm:Q06507;Rn:Q9ES19	-
P17947	Q01196	6688	861	SPI1	RUNX1	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;17202159	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRED	Yes	Mm:P17433	Dr:Q6PHV7;Rn:Q6BDS1	-	Mm:Q3UM65;Rn:A0A0G2JYQ4
Q16254	P04183	1874	7083	E2F4	TK1	chromatin immunoprecipitation array;chromatin immunoprecipitation assay;inferred by curator	11799067;29126285;26578589;22761861;18971253;27924024;17531812;17202159;22900683	Homo sapiens	GTRD;HTRI;ORegAnno;PAZAR;ReMap;TFactS_via_DoRothea;TRED	Yes	Dr:A0A0R4ICD5;Mm:Q8R0K9;Rn:D4A9V4	-	Ce:G5EEZ5;Mm:P04184;Rn:M0RCX2	Dr:A0A0R4IP36
P40763	P10145	6774	3576	STAT3	CXCL8	chromatin immunoprecipitation assay;inferred by curator	29087512;29126285;27924024;17726017	Homo sapiens	GTRD;ReMap;TRRUST	Yes	-	-	-	Dr:N0GW19
P05549	P21589	7020	4907	TFAP2A	NT5E	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	-	-	Dm:Q7K0L5;Dm:Q8SZY4;Dm:A1ZAU0;Dr:Q5PNP4;Mm:Q61503;Rn:Q66HL0	-
Q00577	P49327	5813	2194	PURA	FASN	inferred by curator	29087512;10903433	Homo sapiens	TRRUST	Yes	Dr:Q6JIZ2;Mm:P42669;Rn:F1LPS8	-	Ce:P91871;Dr:E7F5V3;Mm:P19096;Rn:P12785	Dm:Q9VQL6
Q09472	P19320	2033	7412	EP300	VCAM1	chromatin immunoprecipitation assay;inferred by curator	29087512;27924024;19281832	Homo sapiens	GTRD;TRRUST	Yes	Dr:X1WG57;Mm:B2RWS6	-	Dr:A5PMX0	Mm:Q3UPN1;Rn:P29534
Q01094	P04233	1869	972	E2F1	CD74	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Mm:Q61501;Rn:O09139	-	Mm:P04441;Rn:P10247	Dr:Q9PUT2
P10242	P22234	4602	10606	MYB	PAICS	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:F1QP24;Rn:A0A0G2K2A4	Mm:A0A087WPA7	Ce:Q10457;Mm:Q9DCL9;Rn:P51583	Dm:F0JAN1;Rn:F8WFR8;Rn:A0A0G2K5S4
P43268	P15428	2118	3248	ETV4	HPGD	inferred by curator	17202159	Homo sapiens	TRED	Yes	Dr:F1RD02;Rn:A0A0G2JX95	Mm:A2A5C3	Dr:E7F258;Mm:Q8VCC1;Rn:O08699	Dm:B7Z061
Q13485	P05412	4089	3725	SMAD4	JUN	chromatin immunoprecipitation assay;inferred by curator	10022869;22761861;27924024;17202159;29087512	Homo sapiens	GTRD;TFactS_via_DoRothea;TRED;TRRUST	Yes	Mm:P97471;Rn:A0A0G2K970	Dm:Q8IMG6	Dr:Q6NZT5;Mm:P05627;Rn:P17325	-
P22415	B4DSX9	7391	1056	USF1	-	inferred by curator	17202159	Homo sapiens	TRED	Yes	Dr:F1QUA1;Mm:Q61069;Rn:O35410	-	-	-
Q02446	P27338	6671	4129	SP4	MAOB	inferred by curator	29087512;11259630	Homo sapiens	TRRUST	Yes	Dm:Q9VEW6;Mm:A0A1Y7VJR5;Rn:Q63158	Dr:F1QVQ1	Mm:Q8BW75;Rn:P19643	-
P01100	P30990	2353	4922	FOS	NTS	inferred by curator	17202159;29087512;7791794	Homo sapiens	TRED;TRRUST	Yes	Dr:Q6P0S4;Mm:P01101;Rn:P12841	-	Mm:Q9D3P9;Rn:G3V6J4	Dr:E7FFY4
P22415	P31513	7391	2328	USF1	FMO3	inferred by curator	17786630;29087512	Homo sapiens	TRRUST	Yes	Dr:F1QUA1;Mm:Q61069;Rn:O35410	-	Mm:P97501;Rn:A0A0G2JSI0	-
P25054	P60321	324	339345	APC	NANOS2	inferred by curator	29087512;11935128	Homo sapiens	TRRUST	Yes	Mm:B2RUG9	Dr:F8W4Z3;Rn:A0A0G2K8G0	Mm:P60322	Rn:D4A4B3
P16220	P09622	1385	1738	CREB1	DLD	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:Q803K8;Mm:Q01147;Rn:P15337	Dr:E9QHG0	Ce:O17953;Dm:Q9VVL7;Dr:Q6TNU6;Mm:O08749;Rn:Q6P6R2;Sc:P09624	-
Q16254	P51955	1874	4751	E2F4	NEK2	chromatin immunoprecipitation array;chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;17531812;17202159;22900683	Homo sapiens	GTRD;HTRI;ORegAnno;PAZAR;ReMap;TRED	Yes	Dr:A0A0R4ICD5;Mm:Q8R0K9;Rn:D4A9V4	-	Mm:O35942;Rn:G3V6L2	-
P10071	Q9NWM0	2737	54498	GLI3	SMOX	inferred by curator	15072830;29087512	Homo sapiens	TRRUST	Yes	Dr:F1QSH8;Mm:Q61602;Rn:F1M9H1	-	Dr:B8A458;Mm:Q99K82;Rn:B1WBU6	-
Q15672	P62834	7291	5906	TWIST1	RAP1A	chromatin immunoprecipitation assay;inferred by curator	29087512;19051271;27924024	Homo sapiens	GTRD;TRRUST	Yes	Mm:P26687;Rn:Q9EPJ1	Dr:Q568M7;Dr:Q9PTE3	Mm:P62835	-
Q14494	Q15785	4779	10953	NFE2L1	TOMM34	chromatin immunoprecipitation assay;inferred by curator	18364745;29087512;29126285	Homo sapiens	ReMap;TRRUST	Yes	Dr:U3JAR7;Mm:Q61985;Rn:D4A349	-	Dr:Q6ZM24;Mm:Q9CYG7;Rn:Q3KRD5	-
P08047	P10415	6667	596	SP1	BCL2	chromatin immunoprecipitation assay;electrophoretic mobility shift assay;inferred by curator	29126285;11752324;10542244;27924024;17202159;29087512;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRED;TRRD_via_DoRothEA;TRRUST	Yes	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0	Dr:Q564A4;Mm:P10417;Rn:F1LNV0	Dr:F8W266
P40763	P41159	6774	3952	STAT3	LEP	chromatin immunoprecipitation assay;inferred by curator	19492417;29087512;29126285;18242580	Homo sapiens	ReMap;TRRUST	Yes	-	-	Mm:P41160	Rn:P50596
P01106	Q92547	4609	11073	MYC	TOPBP1	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:F1RC36;Mm:P01108	-	Dm:Q9VY97;Mm:Q6ZQF0;Rn:D3ZRG0	Dr:F1R135
Q01094	Q6IC98	1869	23151	E2F1	GRAMD4	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Mm:Q61501;Rn:O09139	-	Mm:Q8CB44;Rn:F1LYJ8	-
P40763	Q9NZD4	6774	51327	STAT3	AHSP	inferred by curator	24234451;24740453	Homo sapiens	IntAct_via_DoRothEA	Yes	-	-	Rn:A9UMW3	-
P18848	P15692	468	7422	ATF4	VEGFA	chromatin immunoprecipitation assay;inferred by curator	29126285;22915762;18829529;15788408;23908598;18451308;27924024;29087512	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:Q6NW59;Mm:Q06507;Rn:Q9ES19	-	Dr:O73682	Mm:E9Q4N8
P42224	Q15269	6772	5822	STAT1	PWP2	chromatin immunoprecipitation assay;inferred by curator	22951020;26578589;27924024	Homo sapiens	GTRD;ORegAnno	Yes	Dr:Q6P943	Mm:A0A087WSP5	-	-
P32519	Q01543	1997	2313	ELF1	FLI1	chromatin immunoprecipitation assay;inferred by curator	19829305;29087512;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:E7F1J0;Mm:Q60775	Rn:G3V9V2	Mm:P26323;Rn:Q4Z8P1	Dr:Q9PU61
P18146	P01137	1958	7040	EGR1	TGFB1	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;17202159	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRED	Yes	Dm:Q24266;Mm:P08046	Dr:P26632;Rn:A0A0H2UHR3	-	-
Q01094	Q96B77	1869	25880	E2F1	TMEM186	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Mm:Q61501;Rn:O09139	-	Dm:Q059A4;Dr:B3DI94;Mm:Q9CR76;Rn:Q4KLZ1	Rn:F1M8C8
P01106	O95831	4609	9131	MYC	AIFM1	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:F1RC36;Mm:P01108	-	Ce:Q9U229;Dm:Q9VQ79;Mm:Q9Z0X1;Rn:Q9JM53	Dr:F1RBU6
P16220	P01282	1385	7432	CREB1	VIP	chromatin immunoprecipitation assay;inferred by curator	1847391;29126285;27924024;17202159;29087512	Homo sapiens	GTRD;ReMap;TRED;TRRUST	Yes	Dr:Q803K8;Mm:Q01147;Rn:P15337	Dr:E9QHG0	Mm:A0A0R4J003;Rn:P01283	-
P14859	Q9NZJ7	5451	23787	POU2F1	MTCH1	inferred by curator	17202159	Homo sapiens	TRED	Yes	Rn:F1LRD7	Mm:A0A0R4J1Z4	Mm:Q791T5;Rn:B0BN30	-
P22415	O60312	7391	57194	USF1	ATP10A	inferred by curator	17202159	Homo sapiens	TRED	Yes	Dr:F1QUA1;Mm:Q61069;Rn:O35410	-	Dr:E7FFH9;Mm:O54827	Rn:A0A0G2JWQ8
